task_id,tool,task_type,clarity,accuracy,tone,overall_score
task_0550,ChatGPT,explanation,4,3,5,4.0
task_0551,ChatGPT,summarization,4,4,4,4.0
task_0552,Copilot,summarization,5,5,5,5.0
task_0553,ChatGPT,summarization,4,4,5,4.33
task_0554,ChatGPT,summarization,5,4,3,4.0
task_0555,ChatGPT,code_generation,4,3,5,4.0
task_0556,ChatGPT,summarization,4,4,5,4.33
task_0557,ChatGPT,code_generation,5,4,5,4.67
task_0558,ChatGPT,code_generation,5,3,3,3.67
task_0559,ChatGPT,summarization,5,4,4,4.33
task_0560,ChatGPT,summarization,4,4,4,4.0
task_0561,ChatGPT,explanation,3,5,4,4.0
task_0562,Copilot,explanation,4,5,3,4.0
task_0563,ChatGPT,explanation,4,3,5,4.0
task_0564,ChatGPT,summarization,5,3,3,3.67
task_0565,Copilot,code_generation,5,3,4,4.0
task_0566,Copilot,explanation,5,5,3,4.33
task_0567,Copilot,explanation,4,4,3,3.67
task_0568,Copilot,summarization,3,4,5,4.0
task_0569,ChatGPT,explanation,5,5,3,4.33
task_0570,Copilot,explanation,4,5,4,4.33
task_0571,Copilot,explanation,5,3,5,4.33
task_0572,ChatGPT,explanation,3,5,5,4.33
task_0573,ChatGPT,summarization,3,3,4,3.33
task_0574,Copilot,explanation,5,5,4,4.67
task_0575,ChatGPT,explanation,4,3,3,3.33
task_0576,Copilot,summarization,4,3,4,3.67
task_0577,ChatGPT,summarization,4,3,4,3.67
task_0578,Copilot,summarization,4,4,4,4.0
task_0579,Copilot,explanation,5,3,4,4.0
task_0580,ChatGPT,summarization,3,4,3,3.33
task_0581,Copilot,explanation,4,4,3,3.67
task_0582,Copilot,explanation,4,4,4,4.0
task_0583,Copilot,explanation,5,4,3,4.0
task_0584,ChatGPT,code_generation,4,3,4,3.67
task_0585,ChatGPT,code_generation,5,5,5,5.0
task_0586,ChatGPT,summarization,5,5,5,5.0
task_0587,ChatGPT,explanation,3,5,4,4.0
task_0588,Copilot,explanation,4,3,4,3.67
task_0589,ChatGPT,summarization,3,4,3,3.33
task_0590,Copilot,summarization,4,3,5,4.0
task_0591,ChatGPT,code_generation,4,4,3,3.67
task_0592,Copilot,code_generation,4,5,4,4.33
task_0593,Copilot,summarization,3,5,3,3.67
task_0594,ChatGPT,explanation,5,3,4,4.0
task_0595,ChatGPT,explanation,4,5,3,4.0
task_0596,ChatGPT,explanation,5,4,4,4.33
task_0597,ChatGPT,explanation,5,4,3,4.0
task_0598,Copilot,code_generation,4,3,4,3.67
task_0599,ChatGPT,code_generation,3,4,4,3.67
task_0600,Copilot,explanation,4,4,5,4.33
task_0601,ChatGPT,summarization,5,3,5,4.33
task_0602,ChatGPT,explanation,4,5,5,4.67
task_0603,ChatGPT,explanation,4,5,3,4.0
task_0604,ChatGPT,explanation,3,3,5,3.67
task_0605,ChatGPT,code_generation,3,5,5,4.33
task_0606,Copilot,explanation,5,4,3,4.0
task_0607,Copilot,explanation,5,4,5,4.67
task_0608,ChatGPT,code_generation,4,5,3,4.0
task_0609,ChatGPT,code_generation,3,3,5,3.67
task_0610,ChatGPT,explanation,3,5,3,3.67
task_0611,Copilot,explanation,3,4,3,3.33
task_0612,ChatGPT,code_generation,4,4,3,3.67
task_0613,Copilot,explanation,5,4,4,4.33
task_0614,Copilot,summarization,3,5,4,4.0
task_0615,Copilot,explanation,3,3,3,3.0
task_0616,Copilot,explanation,4,3,3,3.33
task_0617,Copilot,summarization,5,5,4,4.67
task_0618,Copilot,summarization,3,5,5,4.33
task_0619,ChatGPT,code_generation,4,5,3,4.0
task_0620,Copilot,summarization,5,3,5,4.33
task_0621,Copilot,code_generation,4,3,5,4.0
task_0622,ChatGPT,summarization,5,4,4,4.33
task_0623,Copilot,explanation,3,4,5,4.0
task_0624,Copilot,code_generation,3,4,5,4.0
task_0625,Copilot,summarization,4,3,3,3.33
task_0626,Copilot,explanation,4,5,5,4.67
task_0627,ChatGPT,explanation,5,4,4,4.33
task_0628,ChatGPT,code_generation,4,3,5,4.0
task_0629,Copilot,code_generation,4,4,4,4.0
task_0630,Copilot,code_generation,5,3,3,3.67
task_0631,Copilot,summarization,3,4,5,4.0
task_0632,Copilot,code_generation,4,5,5,4.67
task_0633,Copilot,summarization,5,5,5,5.0
task_0634,ChatGPT,code_generation,5,3,5,4.33
task_0635,Copilot,summarization,4,5,5,4.67
task_0636,Copilot,explanation,5,3,5,4.33
task_0637,Copilot,code_generation,3,4,5,4.0
task_0638,Copilot,code_generation,3,5,3,3.67
task_0639,ChatGPT,code_generation,4,5,4,4.33
task_0640,ChatGPT,code_generation,4,3,5,4.0
task_0641,Copilot,summarization,4,3,3,3.33
task_0642,ChatGPT,explanation,4,4,4,4.0
task_0643,ChatGPT,code_generation,3,3,5,3.67
task_0644,Copilot,code_generation,3,5,3,3.67
task_0645,ChatGPT,summarization,4,5,3,4.0
task_0646,Copilot,explanation,5,5,4,4.67
task_0647,ChatGPT,code_generation,4,5,4,4.33
task_0648,Copilot,explanation,5,3,4,4.0
task_0649,Copilot,summarization,5,5,3,4.33
task_0650,ChatGPT,summarization,4,4,5,4.33
task_0651,ChatGPT,code_generation,5,3,5,4.33
task_0652,Copilot,code_generation,3,4,4,3.67
task_0653,ChatGPT,code_generation,3,5,4,4.0
task_0654,Copilot,code_generation,5,5,3,4.33
task_0655,ChatGPT,summarization,5,3,4,4.0
task_0656,Copilot,explanation,3,4,4,3.67
task_0657,ChatGPT,explanation,3,5,3,3.67
task_0658,ChatGPT,summarization,3,3,3,3.0
task_0659,Copilot,explanation,3,4,5,4.0
task_0660,Copilot,summarization,3,5,4,4.0
task_0661,Copilot,explanation,3,4,4,3.67
task_0662,ChatGPT,explanation,3,4,5,4.0
task_0663,Copilot,code_generation,5,5,5,5.0
task_0664,Copilot,explanation,3,4,3,3.33
task_0665,ChatGPT,explanation,3,3,3,3.0
task_0666,ChatGPT,summarization,4,5,3,4.0
task_0667,ChatGPT,explanation,3,4,3,3.33
task_0668,ChatGPT,summarization,5,5,5,5.0
task_0669,Copilot,summarization,4,3,3,3.33
task_0670,Copilot,summarization,5,5,5,5.0
task_0671,Copilot,code_generation,3,3,4,3.33
task_0672,Copilot,summarization,5,5,4,4.67
task_0673,Copilot,summarization,3,3,4,3.33
task_0674,Copilot,code_generation,5,5,3,4.33
task_0675,Copilot,summarization,4,3,3,3.33
task_0676,Copilot,code_generation,5,5,3,4.33
task_0677,ChatGPT,explanation,3,3,3,3.0
task_0678,Copilot,code_generation,4,3,4,3.67
task_0679,ChatGPT,explanation,3,5,3,3.67
task_0680,ChatGPT,explanation,5,5,5,5.0
task_0681,Copilot,explanation,5,3,5,4.33
task_0682,Copilot,summarization,5,4,3,4.0
task_0683,ChatGPT,explanation,5,4,5,4.67
task_0684,ChatGPT,code_generation,3,4,5,4.0
task_0685,ChatGPT,summarization,5,5,5,5.0
task_0686,ChatGPT,code_generation,4,5,5,4.67
task_0687,ChatGPT,explanation,5,4,4,4.33
task_0688,Copilot,explanation,3,3,3,3.0
task_0689,ChatGPT,explanation,3,4,5,4.0
task_0690,ChatGPT,explanation,3,3,4,3.33
task_0691,ChatGPT,explanation,4,4,3,3.67
task_0692,ChatGPT,summarization,3,4,5,4.0
task_0693,ChatGPT,summarization,4,4,4,4.0
task_0694,Copilot,explanation,5,4,4,4.33
task_0695,ChatGPT,code_generation,5,3,3,3.67
task_0696,ChatGPT,explanation,3,4,5,4.0
task_0697,Copilot,explanation,4,3,5,4.0
task_0698,ChatGPT,explanation,3,3,3,3.0
task_0699,ChatGPT,summarization,5,4,4,4.33
task_0700,ChatGPT,code_generation,4,3,3,3.33
task_0701,Copilot,code_generation,4,5,3,4.0
task_0702,Copilot,summarization,3,4,5,4.0
task_0703,ChatGPT,summarization,5,3,3,3.67
task_0704,ChatGPT,code_generation,3,3,5,3.67
task_0705,Copilot,explanation,4,4,3,3.67
task_0706,Copilot,code_generation,4,5,4,4.33
task_0707,ChatGPT,explanation,5,5,4,4.67
task_0708,Copilot,explanation,4,3,5,4.0
task_0709,Copilot,summarization,4,5,3,4.0
task_0710,ChatGPT,summarization,3,4,4,3.67
task_0711,ChatGPT,explanation,5,5,3,4.33
task_0712,ChatGPT,summarization,3,3,4,3.33
task_0713,Copilot,explanation,4,5,3,4.0
task_0714,Copilot,code_generation,3,5,3,3.67
task_0715,ChatGPT,code_generation,4,4,3,3.67
task_0716,Copilot,summarization,3,3,3,3.0
task_0717,ChatGPT,explanation,5,4,5,4.67
task_0718,Copilot,explanation,4,4,4,4.0
task_0719,Copilot,explanation,5,3,4,4.0
task_0720,Copilot,code_generation,3,5,5,4.33
task_0721,ChatGPT,code_generation,5,5,5,5.0
task_0722,ChatGPT,explanation,4,4,5,4.33
task_0723,Copilot,explanation,4,4,5,4.33
task_0724,Copilot,summarization,4,5,4,4.33
task_0725,Copilot,explanation,4,5,4,4.33
task_0726,ChatGPT,explanation,4,3,4,3.67
task_0727,ChatGPT,summarization,3,4,5,4.0
task_0728,Copilot,explanation,4,5,3,4.0
task_0729,Copilot,code_generation,3,3,5,3.67
task_0730,Copilot,explanation,3,4,4,3.67
task_0731,ChatGPT,explanation,3,5,3,3.67
task_0732,Copilot,code_generation,5,4,5,4.67
task_0733,Copilot,code_generation,4,4,4,4.0
task_0734,Copilot,code_generation,5,3,4,4.0
task_0735,Copilot,code_generation,3,5,5,4.33
task_0736,Copilot,code_generation,4,5,4,4.33
task_0737,ChatGPT,explanation,4,3,5,4.0
task_0738,Copilot,code_generation,5,3,4,4.0
task_0739,ChatGPT,summarization,5,3,3,3.67
task_0740,Copilot,explanation,3,4,3,3.33
task_0741,Copilot,explanation,4,3,5,4.0
task_0742,Copilot,summarization,5,5,4,4.67
task_0743,Copilot,summarization,4,5,4,4.33
task_0744,ChatGPT,summarization,3,3,3,3.0
task_0745,Copilot,summarization,3,3,3,3.0
task_0746,Copilot,summarization,5,4,4,4.33
task_0747,ChatGPT,explanation,3,5,3,3.67
task_0748,Copilot,summarization,5,3,4,4.0
task_0749,Copilot,explanation,4,3,5,4.0
task_0750,ChatGPT,explanation,4,3,4,3.67
task_0751,ChatGPT,code_generation,5,3,5,4.33
task_0752,Copilot,code_generation,3,5,4,4.0
task_0753,Copilot,summarization,3,3,5,3.67
task_0754,Copilot,explanation,5,4,4,4.33
task_0755,Copilot,summarization,3,5,5,4.33
task_0756,Copilot,summarization,3,4,5,4.0
task_0757,ChatGPT,explanation,4,3,5,4.0
task_0758,Copilot,summarization,3,4,3,3.33
task_0759,Copilot,summarization,3,5,5,4.33
task_0760,Copilot,summarization,3,5,3,3.67
task_0761,Copilot,explanation,3,5,3,3.67
task_0762,ChatGPT,code_generation,3,4,3,3.33
task_0763,ChatGPT,explanation,4,4,5,4.33
task_0764,ChatGPT,summarization,4,5,3,4.0
task_0765,Copilot,summarization,3,5,3,3.67
task_0766,Copilot,code_generation,5,5,5,5.0
task_0767,ChatGPT,code_generation,5,4,3,4.0
task_0768,Copilot,summarization,5,5,3,4.33
task_0769,Copilot,summarization,4,4,5,4.33
task_0770,ChatGPT,explanation,3,5,5,4.33
task_0771,Copilot,summarization,4,5,4,4.33
task_0772,Copilot,summarization,4,5,5,4.67
task_0773,ChatGPT,code_generation,4,3,3,3.33
task_0774,Copilot,explanation,4,5,4,4.33
task_0775,ChatGPT,summarization,5,5,3,4.33
task_0776,Copilot,summarization,4,3,5,4.0
task_0777,Copilot,code_generation,3,4,4,3.67
task_0778,ChatGPT,explanation,5,3,3,3.67
task_0779,ChatGPT,summarization,4,3,5,4.0
task_0780,ChatGPT,explanation,5,3,3,3.67
task_0781,ChatGPT,explanation,4,3,3,3.33
task_0782,ChatGPT,summarization,4,4,5,4.33
task_0783,Copilot,code_generation,4,5,4,4.33
task_0784,ChatGPT,code_generation,4,4,4,4.0
task_0785,Copilot,summarization,5,4,5,4.67
task_0786,Copilot,code_generation,3,5,3,3.67
task_0787,Copilot,explanation,5,3,3,3.67
task_0788,Copilot,summarization,3,4,5,4.0
task_0789,Copilot,summarization,3,4,5,4.0
task_0790,ChatGPT,code_generation,4,3,5,4.0
task_0791,Copilot,explanation,5,4,5,4.67
task_0792,Copilot,code_generation,5,4,3,4.0
task_0793,Copilot,summarization,3,5,3,3.67
task_0794,Copilot,explanation,4,4,4,4.0
task_0795,Copilot,code_generation,3,3,4,3.33
task_0796,Copilot,explanation,4,3,3,3.33
task_0797,Copilot,explanation,4,5,3,4.0
task_0798,Copilot,summarization,5,5,4,4.67
task_0799,Copilot,explanation,3,4,5,4.0
task_0800,Copilot,explanation,4,3,3,3.33
task_0801,ChatGPT,code_generation,3,3,3,3.0
task_0802,ChatGPT,explanation,5,5,3,4.33
task_0803,ChatGPT,code_generation,3,5,5,4.33
task_0804,ChatGPT,explanation,4,4,5,4.33
task_0805,ChatGPT,code_generation,3,3,5,3.67
task_0806,Copilot,summarization,3,4,4,3.67
task_0807,Copilot,summarization,5,5,3,4.33
task_0808,Copilot,summarization,5,4,3,4.0
task_0809,Copilot,code_generation,5,5,5,5.0
task_0810,ChatGPT,summarization,5,4,4,4.33
task_0811,ChatGPT,summarization,5,3,5,4.33
task_0812,Copilot,summarization,5,5,4,4.67
task_0813,ChatGPT,summarization,5,4,3,4.0
task_0814,Copilot,explanation,5,5,3,4.33
task_0815,Copilot,code_generation,3,3,3,3.0
task_0816,ChatGPT,summarization,3,3,5,3.67
task_0817,Copilot,summarization,5,5,5,5.0
task_0818,ChatGPT,code_generation,3,4,4,3.67
task_0819,ChatGPT,code_generation,4,5,4,4.33
task_0820,ChatGPT,explanation,5,3,4,4.0
task_0821,Copilot,summarization,5,4,3,4.0
task_0822,ChatGPT,explanation,5,5,5,5.0
task_0823,Copilot,summarization,4,3,3,3.33
task_0824,ChatGPT,code_generation,4,3,5,4.0
task_0825,ChatGPT,summarization,3,5,3,3.67
task_0826,Copilot,code_generation,4,5,3,4.0
task_0827,Copilot,summarization,5,4,5,4.67
task_0828,Copilot,code_generation,3,4,4,3.67
task_0829,Copilot,code_generation,3,3,4,3.33
task_0830,Copilot,code_generation,4,3,5,4.0
task_0831,ChatGPT,code_generation,4,3,3,3.33
task_0832,Copilot,summarization,5,4,5,4.67
task_0833,ChatGPT,explanation,4,5,3,4.0
task_0834,Copilot,explanation,5,4,3,4.0
task_0835,ChatGPT,code_generation,5,4,5,4.67
task_0836,ChatGPT,explanation,4,4,5,4.33
task_0837,Copilot,explanation,3,5,5,4.33
task_0838,ChatGPT,explanation,3,3,5,3.67
task_0839,ChatGPT,explanation,3,5,3,3.67
task_0840,Copilot,code_generation,5,3,4,4.0
task_0841,ChatGPT,summarization,4,3,5,4.0
task_0842,ChatGPT,summarization,5,5,5,5.0
task_0843,ChatGPT,explanation,3,5,3,3.67
task_0844,ChatGPT,summarization,5,3,5,4.33
task_0845,ChatGPT,code_generation,5,4,3,4.0
task_0846,Copilot,explanation,4,3,3,3.33
task_0847,Copilot,summarization,4,5,5,4.67
task_0848,ChatGPT,explanation,5,4,5,4.67
task_0849,ChatGPT,summarization,5,4,3,4.0
task_0850,ChatGPT,explanation,4,3,4,3.67
task_0851,Copilot,code_generation,3,4,3,3.33
task_0852,Copilot,code_generation,3,4,5,4.0
task_0853,Copilot,explanation,3,3,3,3.0
task_0854,Copilot,code_generation,5,3,3,3.67
task_0855,ChatGPT,code_generation,5,4,3,4.0
task_0856,ChatGPT,code_generation,5,3,5,4.33
task_0857,Copilot,code_generation,4,4,4,4.0
task_0858,ChatGPT,summarization,5,4,3,4.0
task_0859,ChatGPT,code_generation,5,5,5,5.0
task_0860,Copilot,code_generation,3,4,3,3.33
task_0861,Copilot,summarization,5,3,5,4.33
task_0862,Copilot,explanation,3,5,5,4.33
task_0863,Copilot,code_generation,3,5,3,3.67
task_0864,Copilot,code_generation,5,5,3,4.33
task_0865,Copilot,summarization,5,3,3,3.67
task_0866,Copilot,code_generation,5,5,3,4.33
task_0867,Copilot,code_generation,4,5,4,4.33
task_0868,Copilot,summarization,4,4,5,4.33
task_0869,ChatGPT,code_generation,5,3,5,4.33
task_0870,ChatGPT,code_generation,3,5,4,4.0
task_0871,Copilot,summarization,5,4,4,4.33
task_0872,Copilot,summarization,3,5,3,3.67
task_0873,ChatGPT,summarization,3,5,4,4.0
task_0874,Copilot,code_generation,3,5,5,4.33
task_0875,Copilot,summarization,4,3,3,3.33
task_0876,Copilot,code_generation,3,5,4,4.0
task_0877,ChatGPT,code_generation,5,4,5,4.67
task_0878,Copilot,code_generation,3,4,4,3.67
task_0879,ChatGPT,explanation,5,5,4,4.67
task_0880,Copilot,summarization,4,4,5,4.33
task_0881,Copilot,code_generation,4,3,5,4.0
task_0882,Copilot,explanation,5,4,3,4.0
task_0883,ChatGPT,explanation,3,5,4,4.0
task_0884,ChatGPT,explanation,3,5,3,3.67
task_0885,Copilot,explanation,4,3,4,3.67
task_0886,Copilot,explanation,5,5,5,5.0
task_0887,Copilot,code_generation,3,3,4,3.33
task_0888,ChatGPT,summarization,3,4,4,3.67
task_0889,Copilot,code_generation,3,4,4,3.67
task_0890,Copilot,summarization,3,3,5,3.67
task_0891,Copilot,summarization,3,5,4,4.0
task_0892,Copilot,explanation,5,5,4,4.67
task_0893,ChatGPT,explanation,4,4,5,4.33
task_0894,Copilot,code_generation,3,3,5,3.67
task_0895,Copilot,explanation,3,5,3,3.67
task_0896,Copilot,summarization,5,4,3,4.0
task_0897,Copilot,explanation,4,3,3,3.33
task_0898,Copilot,code_generation,3,5,4,4.0
task_0899,ChatGPT,explanation,5,3,4,4.0
task_0900,ChatGPT,summarization,3,5,3,3.67
task_0901,ChatGPT,code_generation,3,4,3,3.33
task_0902,ChatGPT,summarization,5,3,3,3.67
task_0903,ChatGPT,summarization,3,5,3,3.67
task_0904,ChatGPT,summarization,4,4,3,3.67
task_0905,Copilot,explanation,5,3,3,3.67
task_0906,Copilot,summarization,3,4,3,3.33
task_0907,ChatGPT,explanation,4,3,3,3.33
task_0908,Copilot,explanation,5,5,3,4.33
task_0909,ChatGPT,code_generation,5,4,3,4.0
task_0910,ChatGPT,summarization,3,4,5,4.0
task_0911,Copilot,summarization,4,4,3,3.67
task_0912,Copilot,code_generation,4,5,4,4.33
task_0913,Copilot,summarization,4,5,3,4.0
task_0914,ChatGPT,code_generation,4,3,5,4.0
task_0915,Copilot,code_generation,4,4,4,4.0
task_0916,ChatGPT,summarization,5,3,3,3.67
task_0917,Copilot,summarization,5,4,3,4.0
task_0918,ChatGPT,summarization,5,5,4,4.67
task_0919,Copilot,explanation,4,5,4,4.33
task_0920,Copilot,explanation,4,4,4,4.0
task_0921,Copilot,explanation,5,3,4,4.0
task_0922,ChatGPT,summarization,5,4,4,4.33
task_0923,Copilot,code_generation,5,3,5,4.33
task_0924,Copilot,explanation,4,4,5,4.33
task_0925,ChatGPT,explanation,5,5,5,5.0
task_0926,ChatGPT,explanation,4,5,4,4.33
task_0927,Copilot,explanation,3,5,4,4.0
task_0928,Copilot,code_generation,5,4,4,4.33
task_0929,Copilot,explanation,3,5,5,4.33
task_0930,Copilot,summarization,5,3,4,4.0
task_0931,Copilot,code_generation,5,4,4,4.33
task_0932,Copilot,summarization,3,5,5,4.33
task_0933,Copilot,explanation,5,5,4,4.67
task_0934,Copilot,code_generation,5,5,4,4.67
task_0935,ChatGPT,code_generation,3,4,5,4.0
task_0936,ChatGPT,explanation,4,5,5,4.67
task_0937,Copilot,explanation,3,3,5,3.67
task_0938,Copilot,summarization,4,3,5,4.0
task_0939,Copilot,summarization,3,5,4,4.0
task_0940,ChatGPT,code_generation,3,5,4,4.0
task_0941,ChatGPT,explanation,4,3,5,4.0
task_0942,ChatGPT,explanation,4,4,4,4.0
task_0943,ChatGPT,summarization,5,5,5,5.0
task_0944,ChatGPT,code_generation,4,4,5,4.33
task_0945,ChatGPT,summarization,4,3,4,3.67
task_0946,Copilot,summarization,3,5,5,4.33
task_0947,ChatGPT,explanation,4,4,3,3.67
task_0948,Copilot,code_generation,5,4,4,4.33
task_0949,ChatGPT,explanation,5,3,5,4.33
task_0950,ChatGPT,summarization,3,4,4,3.67
task_0951,ChatGPT,explanation,3,4,4,3.67
task_0952,Copilot,code_generation,5,5,4,4.67
task_0953,Copilot,summarization,3,3,5,3.67
task_0954,ChatGPT,summarization,4,4,5,4.33
task_0955,ChatGPT,explanation,3,4,3,3.33
task_0956,Copilot,code_generation,4,3,5,4.0
task_0957,Copilot,explanation,3,5,4,4.0
task_0958,ChatGPT,summarization,4,3,3,3.33
task_0959,ChatGPT,explanation,3,4,3,3.33
task_0960,ChatGPT,explanation,4,5,3,4.0
task_0961,ChatGPT,summarization,3,4,3,3.33
task_0962,ChatGPT,summarization,3,5,5,4.33
task_0963,ChatGPT,explanation,3,3,3,3.0
task_0964,ChatGPT,explanation,3,4,4,3.67
task_0965,ChatGPT,explanation,3,3,5,3.67
task_0966,Copilot,explanation,5,5,4,4.67
task_0967,ChatGPT,code_generation,4,4,3,3.67
task_0968,Copilot,code_generation,4,3,3,3.33
task_0969,Copilot,code_generation,3,4,5,4.0
task_0970,ChatGPT,explanation,3,5,5,4.33
task_0971,Copilot,explanation,4,4,4,4.0
task_0972,Copilot,code_generation,3,3,4,3.33
task_0973,Copilot,code_generation,4,5,4,4.33
task_0974,Copilot,summarization,3,5,4,4.0
task_0975,Copilot,summarization,3,3,4,3.33
task_0976,ChatGPT,code_generation,4,3,5,4.0
task_0977,ChatGPT,summarization,5,5,4,4.67
task_0978,Copilot,explanation,3,3,5,3.67
task_0979,Copilot,code_generation,5,5,3,4.33
task_0980,Copilot,code_generation,5,4,5,4.67
task_0981,Copilot,explanation,5,3,3,3.67
task_0982,Copilot,summarization,4,3,5,4.0
task_0983,Copilot,summarization,3,3,3,3.0
task_0984,Copilot,summarization,3,4,5,4.0
task_0985,Copilot,summarization,5,4,5,4.67
task_0986,Copilot,code_generation,5,4,3,4.0
task_0987,Copilot,code_generation,5,3,4,4.0
task_0988,Copilot,code_generation,5,3,4,4.0
task_0989,ChatGPT,code_generation,5,3,5,4.33
task_0990,Copilot,code_generation,3,5,5,4.33
task_0991,ChatGPT,explanation,5,4,3,4.0
task_0992,Copilot,summarization,3,4,3,3.33
task_0993,Copilot,code_generation,4,5,5,4.67
task_0994,ChatGPT,explanation,4,3,4,3.67
task_0995,ChatGPT,summarization,5,4,3,4.0
task_0996,Copilot,summarization,4,4,4,4.0
task_0997,ChatGPT,code_generation,4,5,5,4.67
task_0998,Copilot,code_generation,3,3,5,3.67
task_0999,ChatGPT,summarization,3,5,3,3.67
task_1000,ChatGPT,explanation,3,5,4,4.0
